Start	End	Direction	Weight
A1BG	CRISP3	0	1
A2M	AMBP	0	1
A2M	APOE	0	1
A2M	APP	0	1
A2M	KLK3	0	1
A2M	B2M	0	1
A2M	CTSB	0	1
A2M	ELA1	0	1
A2M	HSPA5	0	1
A2M	IL1B	0	1
A2M	IL10	0	1
A2M	LCAT	0	1
A2M	LEP	0	1
A2M	LRP1	0	1
A2M	NGFB	0	1
A2M	PAEP	0	1
A2M	TGFBI	0	1
A2M	ADAM19	0	1
A2M	ADAMTS1	0	1
A2M	SMAP	0	1
A2M	ATF7IP	0	1
NAT1	ARD1A	0	1
SERPINA3	APP	0	1
SERPINA3	KLK3	0	1
SERPINA3	CMA1	0	1
SERPINA3	CTRB1	0	1
SERPINA3	CTRL	0	1
SERPINA3	CTSG	0	1
SERPINA3	ELA1	0	1
SERPINA3	ELA2	0	1
SERPINA3	ERBB2	0	1
SERPINA3	F5	0	1
SERPINA3	KLK2	0	1
SERPINA3	LRP1	0	1
SERPINA3	MST1	0	1
SERPINA3	POLA	0	1
SERPINA3	DNAJC1	0	1
AAMP	TH1L	0	1
AANAT	YWHAZ	0	1
ABAT	ALDH5A1	0	1
ABCA1	APOA1	0	1
ABCA1	SNTB2	0	1
ABCA1	FADD	0	1
ABCA2	CDK5RAP2	0	1
ABCB7	FECH	0	1
ABCF1	ITGB4BP	0	1
ABCA4	CNGB1	0	1
ABL1	ABL2	0	1
ABL1	ATM	0	1
ABL1	BCR	0	1
ABL1	C3	0	1
ABL1	CBL	0	1
ABL1	CTNND2	0	1
ABL1	EPHB2	0	1
ABL1	XRCC6	0	1
ABL1	GPX1	0	1
ABL1	GRB2	0	1
ABL1	HCK	0	1
ABL1	INPPL1	0	1
ABL1	JAK1	0	1
ABL1	MDM2	0	1
ABL1	NCK1	0	1
ABL1	NTRK1	0	1
ABL1	PAK2	0	1
ABL1	PIK3R1	0	1
ABL1	PLCG1	0	1
ABL1	PRKDC	0	1
ABL1	PXN	0	1
ABL1	RAD9A	0	1
ABL1	RAN	0	1
ABL1	RASA1	0	1
ABL1	RB1	0	1
ABL1	RFX1	0	1
ABL1	ROBO1	0	1
ABL1	ROS1	0	1
ABL1	SLC9A2	0	1
ABL1	SRC	0	1
ABL1	ST5	0	1
ABL1	TP53	0	1
ABL1	TP73	0	1
ABL1	TUB	0	1
ABL1	ZAP70	0	1
ABL1	ADAM15	0	1
ABL1	WASF1	0	1
ABL1	PSTPIP1	0	1
ABL1	BCAR1	0	1
ABL1	RIN1	0	1
ABL1	ABI1	0	1
ABL1	ABI2	0	1
ABL1	SORBS1	0	1
ABL1	MAP4K5	0	1
ABL1	NCSTN	0	1
ABL1	SH3BP1	0	1
ABL1	EVL	0	1
ABL1	PAG1	0	1
ABL1	YT521	0	1
ABP1	DNM2	0	1
ABL2	BCR	0	1
ABL2	CAT	0	1
ABL2	CRK	0	1
ABL2	EPHB2	0	1
