Node,Supports
hsa:5604,-46
hsa:5605,-46
hsa:5595,-17
hsa:5594,-17
hsa:5894,-45
hsa:673,-45
hsa:369,-45
hsa:861,-44
hsa:1437,-3
hsa:3562,-3
hsa:1436,-50
hsa:4353,-3
hsa:3728,-40
hsa:862,-48
hsa:1050,-48
hsa:6688,-43
hsa:4893,-39
hsa:5296,-42
hsa:5295,-42
hsa:8503,-42
hsa:5290,-42
hsa:5293,-42
hsa:5291,-42
hsa:3265,-39
hsa:3845,-39
hsa:2322,-40
hsa:6774,-46
hsa:6777,-46
hsa:6776,-46
hsa:2885,-48
hsa:6655,-47
hsa:6654,-47
hsa:8864,-47
hsa:6934,-44
hsa:83439,-44
hsa:11040,-49
hsa:5292,-49
hsa:3815,-42
hsa:6932,-44
hsa:51176,-44
hsa:4609,-49
hsa:5467,1
hsa:595,1
hsa:7704,-47
hsa:1848,-34
hsa:8900,-49
hsa:5914,-43
hsa:597,-40
hsa:1053,-40
hsa:5371,-44
hsa:2209,-41
hsa:929,-41
hsa:3684,-41
