Node_ID, Node, Total Support
0, hsa:5604, -42
1, hsa:5605, -42
2, hsa:5595, -9
3, hsa:5594, -9
4, hsa:5894, -41
5, hsa:673, -41
6, hsa:369, -41
7, hsa:861, -42
8, hsa:1437, 39
9, hsa:3562, 39
10, hsa:1436, -48
11, hsa:4353, 39
12, hsa:3728, -38
13, hsa:862, -46
14, hsa:1050, -46
15, hsa:6688, -43
16, hsa:4893, -37
17, hsa:5296, -40
18, hsa:5295, -40
19, hsa:8503, -40
20, hsa:5290, -40
21, hsa:5293, -40
22, hsa:5291, -40
23, hsa:3265, -37
24, hsa:3845, -37
25, hsa:2322, -38
26, hsa:6774, -42
27, hsa:6777, -42
28, hsa:6776, -42
29, hsa:2885, -44
30, hsa:6655, -43
31, hsa:6654, -43
32, hsa:8864, -11
33, hsa:6934, -44
34, hsa:83439, -44
35, hsa:11040, -43
36, hsa:5292, -43
37, hsa:3815, -40
38, hsa:6932, -44
39, hsa:51176, -44
40, hsa:4609, -47
41, hsa:5467, 15
42, hsa:595, 15
43, hsa:7704, -45
44, hsa:1848, -46
45, hsa:8900, -47
46, hsa:5914, -41
47, hsa:597, -46
48, hsa:1053, -46
49, hsa:5371, -42
50, hsa:2209, -9
51, hsa:929, -9
52, hsa:3684, -9
