Node,Supports
hsa:374654,-38
hsa:51684,-44
hsa:89780,-18
hsa:2535,-18
hsa:11211,-18
hsa:7976,-18
hsa:7855,-18
hsa:8322,-18
hsa:8321,-18
hsa:8324,-18
hsa:8323,-18
hsa:8326,-18
hsa:8325,-18
hsa:1855,-36
hsa:1857,-36
hsa:1856,-36
hsa:80326,-18
hsa:81029,-18
hsa:7483,-18
hsa:7484,-18
hsa:7481,-18
hsa:7482,-18
hsa:7479,-18
hsa:7480,-18
hsa:7477,-18
hsa:7478,-18
hsa:7475,-18
hsa:7476,-18
hsa:7473,-18
hsa:7474,-18
hsa:650,-45
hsa:652,-45
hsa:7471,-18
hsa:7472,-18
hsa:51384,-18
hsa:54361,-18
hsa:2736,-22
hsa:2737,-22
hsa:8643,-45
hsa:5727,-44
hsa:64399,-46
hsa:2735,-22
hsa:6608,-38
hsa:6469,-38
hsa:6934,1
hsa:83439,1
hsa:1499,-44
hsa:51176,1
hsa:6932,1
hsa:2932,-45
