Node_ID, Node, Total Support
0, hsa:374654, -36
1, hsa:51684, -44
2, hsa:89780, -18
3, hsa:2535, -18
4, hsa:11211, -18
5, hsa:7976, -18
6, hsa:7855, -18
7, hsa:8322, -18
8, hsa:8321, -18
9, hsa:8324, -18
10, hsa:8323, -18
11, hsa:8326, -18
12, hsa:8325, -18
13, hsa:1855, -36
14, hsa:1857, -36
15, hsa:1856, -36
16, hsa:80326, -18
17, hsa:81029, -18
18, hsa:7483, -18
19, hsa:7484, -18
20, hsa:7481, -18
21, hsa:7482, -18
22, hsa:7479, -18
23, hsa:7480, -18
24, hsa:7477, -18
25, hsa:7478, -18
26, hsa:7475, -18
27, hsa:7476, -18
28, hsa:7473, -18
29, hsa:7474, -18
30, hsa:650, -35
31, hsa:652, -35
32, hsa:7471, -18
33, hsa:7472, -18
34, hsa:51384, -18
35, hsa:54361, -18
36, hsa:2736, -22
37, hsa:2737, -22
38, hsa:8643, -37
39, hsa:5727, -44
40, hsa:64399, -36
41, hsa:2735, -22
42, hsa:6608, -36
43, hsa:6469, -36
44, hsa:6934, 45
45, hsa:83439, 45
46, hsa:1499, -44
47, hsa:51176, 45
48, hsa:6932, 45
49, hsa:2932, -41
