Node_ID, Node, Total Support
0, hsa:6934, -131
1, hsa:595, -123
2, hsa:83439, -131
3, hsa:4609, -126
4, hsa:1499, -130
5, hsa:51176, -131
6, hsa:6932, -131
7, hsa:122011, -41
8, hsa:1452, -41
9, hsa:8313, 13
10, hsa:10297, 40
11, hsa:324, 40
12, hsa:8312, 13
13, hsa:2932, -105
14, hsa:10023, -103
15, hsa:23401, -103
16, hsa:182, -132
17, hsa:4851, -122
18, hsa:3714, -132
19, hsa:4854, -122
20, hsa:4853, -122
21, hsa:4855, -122
22, hsa:81029, -91
23, hsa:89780, -91
24, hsa:4041, -81
25, hsa:4040, -81
26, hsa:1857, -96
27, hsa:7484, -91
28, hsa:80326, -91
29, hsa:1856, -96
30, hsa:1855, -96
31, hsa:7482, -91
32, hsa:7483, -91
33, hsa:3725, -105
34, hsa:6667, -105
35, hsa:8648, -130
36, hsa:8202, -130
37, hsa:7480, -91
38, hsa:7481, -91
39, hsa:2353, -105
40, hsa:7478, -91
41, hsa:7479, -91
42, hsa:8823, -119
43, hsa:9965, -119
44, hsa:2260, -109
45, hsa:7476, -91
46, hsa:7477, -91
47, hsa:8817, -119
48, hsa:8822, -119
49, hsa:7474, -91
50, hsa:7475, -91
51, hsa:27006, -119
52, hsa:8074, -119
53, hsa:7472, -91
54, hsa:7473, -91
55, hsa:26281, -119
56, hsa:26291, -119
57, hsa:54361, -90
58, hsa:7471, -90
59, hsa:2324, -133
60, hsa:23493, -126
61, hsa:23462, -126
62, hsa:3280, -127
63, hsa:26508, -126
64, hsa:2064, -118
65, hsa:388585, -127
66, hsa:2254, -119
67, hsa:2255, -119
68, hsa:51384, -91
69, hsa:2252, -119
70, hsa:2253, -119
71, hsa:1021, -107
72, hsa:28514, -131
73, hsa:54567, -131
74, hsa:10683, -131
75, hsa:2250, -119
76, hsa:2251, -119
77, hsa:8326, -95
78, hsa:1019, -107
79, hsa:8324, -95
80, hsa:8325, -95
81, hsa:2248, -119
82, hsa:2249, -119
83, hsa:2099, -132
84, hsa:2100, -132
85, hsa:2246, -119
86, hsa:2247, -119
87, hsa:8322, -95
88, hsa:8323, -95
89, hsa:5925, -39
90, hsa:1870, 128
91, hsa:1869, 128
92, hsa:1871, 128
93, hsa:7976, -95
94, hsa:8321, -95
95, hsa:2535, -95
96, hsa:7855, -95
97, hsa:5241, -118
98, hsa:8600, 40
99, hsa:4791, -132
100, hsa:1026, -131
101, hsa:3815, -127
102, hsa:5291, -127
103, hsa:5290, -127
104, hsa:5295, -127
105, hsa:5293, -127
106, hsa:8503, -127
107, hsa:5296, -127
108, hsa:399694, -128
109, hsa:25759, -128
110, hsa:6464, -128
111, hsa:53358, -128
112, hsa:11211, -95
113, hsa:2885, -131
114, hsa:5894, -24
115, hsa:5604, 71
116, hsa:673, -24
117, hsa:5605, 71
118, hsa:369, -24
119, hsa:1647, 124
120, hsa:4616, 124
121, hsa:5594, 116
122, hsa:5595, 116
123, hsa:10912, 124
124, hsa:7157, -71
125, hsa:1643, 124
126, hsa:51426, 124
127, hsa:581, 124
128, hsa:578, 124
129, hsa:6655, -132
130, hsa:6654, -132
131, hsa:1956, -126
132, hsa:3845, -128
133, hsa:4893, -128
134, hsa:1950, 12
135, hsa:3265, -114
136, hsa:3479, 8
137, hsa:3480, -126
