Node_ID, Node, Total Support
0, hsa:1869, 49
1, hsa:1870, 49
2, hsa:1871, 49
3, hsa:5925, 50
4, hsa:613, -33
5, hsa:1398, -20
6, hsa:1399, -20
7, hsa:6776, -26
8, hsa:6777, -26
9, hsa:4609, -24
10, hsa:25759, -23
11, hsa:399694, -23
12, hsa:53358, -23
13, hsa:6464, -23
14, hsa:2885, -25
15, hsa:595, 15
16, hsa:25, -33
17, hsa:3551, -48
18, hsa:8517, -48
19, hsa:4792, -19
20, hsa:1147, -48
21, hsa:4193, -55
22, hsa:7157, 13
23, hsa:572, -54
24, hsa:598, -43
25, hsa:208, -50
26, hsa:1027, -29
27, hsa:207, -50
28, hsa:10000, -50
29, hsa:1021, 14
30, hsa:5970, 26
31, hsa:1019, 14
32, hsa:1029, 9
33, hsa:4790, 26
34, hsa:5594, -1
35, hsa:5595, -1
36, hsa:5605, 2
37, hsa:5604, 2
38, hsa:6654, -1
39, hsa:6655, -1
40, hsa:9846, -20
41, hsa:3265, 3
42, hsa:3845, 3
43, hsa:4893, 3
44, hsa:673, 3
45, hsa:369, 3
46, hsa:5894, 3
47, hsa:5781, -3
48, hsa:5290, -20
49, hsa:5291, -20
50, hsa:5293, -20
51, hsa:5295, -20
52, hsa:5296, -20
53, hsa:8503, -20
54, hsa:867, -4
55, hsa:1026, 11
56, hsa:1647, 11
57, hsa:4616, 11
58, hsa:10912, 11
59, hsa:51426, 13
60, hsa:1643, 13
61, hsa:578, 13
62, hsa:581, 13
