Node_ID, Node, Total Support
0, hsa:10000, -54
1, hsa:207, -54
2, hsa:2475, -63
3, hsa:208, -54
4, hsa:572, -62
5, hsa:842, -61
6, hsa:2932, -62
7, hsa:1647, 47
8, hsa:4616, 47
9, hsa:10912, 47
10, hsa:5595, -58
11, hsa:3725, -47
12, hsa:2353, -47
13, hsa:4609, -57
14, hsa:7157, 52
15, hsa:51426, 51
16, hsa:578, 51
17, hsa:1643, 51
18, hsa:581, 44
19, hsa:1026, 51
20, hsa:5594, -58
21, hsa:5604, -60
22, hsa:5605, -60
23, hsa:595, -57
24, hsa:5894, -59
25, hsa:673, -59
26, hsa:2885, -61
27, hsa:6655, -61
28, hsa:6654, -61
29, hsa:369, -59
30, hsa:1499, -59
31, hsa:6932, -57
32, hsa:51176, -57
33, hsa:83439, -57
34, hsa:6934, -57
35, hsa:332, -42
36, hsa:5296, -56
37, hsa:8503, -56
38, hsa:5293, -56
39, hsa:5295, -56
40, hsa:26060, -22
41, hsa:1950, -23
42, hsa:1956, -55
43, hsa:5291, -56
44, hsa:1630, -22
45, hsa:5290, -56
46, hsa:596, -37
47, hsa:2069, -23
48, hsa:7039, -23
49, hsa:374, -23
50, hsa:5366, 45
51, hsa:10018, 45
52, hsa:27113, 45
53, hsa:836, 14
54, hsa:5880, 58
55, hsa:5881, 58
56, hsa:5601, 56
57, hsa:5599, 56
58, hsa:5602, 56
59, hsa:387, 58
60, hsa:5879, 58
61, hsa:5899, 40
62, hsa:5898, 40
63, hsa:5900, -45
64, hsa:4893, -59
65, hsa:3265, -59
66, hsa:3845, -52
67, hsa:6198, -30
68, hsa:6199, -30
