Node_ID, Node, Total Support
0, hsa:7474, -49
1, hsa:7475, -49
2, hsa:7476, -49
3, hsa:7477, -49
4, hsa:7478, -49
5, hsa:7479, -49
6, hsa:7480, -49
7, hsa:7481, -49
8, hsa:7482, -49
9, hsa:7483, -49
10, hsa:7484, -49
11, hsa:80326, -49
12, hsa:81029, -49
13, hsa:89780, -49
14, hsa:4040, -39
15, hsa:4041, -39
16, hsa:6932, 51
17, hsa:6934, 51
18, hsa:83439, 51
19, hsa:595, 51
20, hsa:4609, 51
21, hsa:51176, 51
22, hsa:7472, -49
23, hsa:7473, -49
24, hsa:54361, -49
25, hsa:7471, -49
26, hsa:2475, -62
27, hsa:6198, -43
28, hsa:6199, -43
29, hsa:51384, -49
30, hsa:207, -64
31, hsa:208, -64
32, hsa:2932, -63
33, hsa:7157, -57
34, hsa:7042, 64
35, hsa:7043, 64
36, hsa:7046, 65
37, hsa:10000, -64
38, hsa:8326, -55
39, hsa:1855, -54
40, hsa:1856, -54
41, hsa:1857, -54
42, hsa:8324, -55
43, hsa:8325, -55
44, hsa:7040, 64
45, hsa:8322, -55
46, hsa:8323, -55
47, hsa:7048, 64
48, hsa:7976, -55
49, hsa:8321, -55
50, hsa:1452, -65
51, hsa:1499, -32
52, hsa:324, -72
53, hsa:122011, -67
54, hsa:2535, -55
55, hsa:7855, -55
56, hsa:4088, 52
57, hsa:1026, -40
58, hsa:1030, 63
59, hsa:4089, 63
60, hsa:10297, -72
61, hsa:4087, 52
62, hsa:8313, -71
63, hsa:11211, -55
64, hsa:8312, -67
65, hsa:10023, -65
66, hsa:23401, -65
67, hsa:10912, -48
68, hsa:1647, -48
69, hsa:4616, -48
70, hsa:1496, 50
71, hsa:29119, 50
72, hsa:1495, 50
73, hsa:51426, 30
74, hsa:1643, 30
75, hsa:578, 30
76, hsa:581, 30
77, hsa:596, 30
78, hsa:999, 50
79, hsa:3728, 54
