Node_ID, Node, Total Support
0, hsa:51806, -37
1, hsa:801, -37
2, hsa:805, -37
3, hsa:808, -37
4, hsa:810, -37
5, hsa:91860, -37
6, hsa:57118, -34
7, hsa:57172, -34
8, hsa:814, -34
9, hsa:815, -34
10, hsa:816, -34
11, hsa:817, -34
12, hsa:818, -34
13, hsa:8536, -34
14, hsa:1956, -37
15, hsa:5290, -39
16, hsa:5291, -39
17, hsa:5293, -39
18, hsa:5295, -39
19, hsa:5296, -39
20, hsa:8503, -39
21, hsa:25759, -43
22, hsa:399694, -43
23, hsa:53358, -43
24, hsa:6464, -43
25, hsa:5335, -46
26, hsa:5336, -46
27, hsa:163688, -37
28, hsa:5159, -36
29, hsa:5156, -36
30, hsa:5894, -44
31, hsa:673, -44
32, hsa:5604, -45
33, hsa:5605, -45
34, hsa:369, -44
35, hsa:3480, -38
36, hsa:3265, -27
37, hsa:3845, -27
38, hsa:4893, -27
39, hsa:5579, -46
40, hsa:5582, -46
41, hsa:5578, -46
42, hsa:2885, -45
43, hsa:6654, -46
44, hsa:6655, -46
45, hsa:7039, -34
46, hsa:1950, -34
47, hsa:3479, -34
48, hsa:5155, -46
49, hsa:5154, -46
50, hsa:5594, -48
51, hsa:5595, -48
