Node_ID, Node, Total Support
0, hsa:673, -57
1, hsa:5604, -58
2, hsa:5605, -58
3, hsa:5894, -57
4, hsa:369, -57
5, hsa:8823, -34
6, hsa:9965, -34
7, hsa:1956, -31
8, hsa:2260, -31
9, hsa:3480, -31
10, hsa:4233, -31
11, hsa:5156, -31
12, hsa:5159, -31
13, hsa:8817, -34
14, hsa:8822, -34
15, hsa:80310, -34
16, hsa:8074, -34
17, hsa:5155, -34
18, hsa:56034, -34
19, hsa:3479, -34
20, hsa:5154, -34
21, hsa:27006, -34
22, hsa:3082, -34
23, hsa:5295, -56
24, hsa:5296, -56
25, hsa:8503, -56
26, hsa:26281, -34
27, hsa:26291, -34
28, hsa:5291, -56
29, hsa:5293, -56
30, hsa:2254, -34
31, hsa:2255, -34
32, hsa:4893, -47
33, hsa:5290, -56
34, hsa:3265, -47
35, hsa:3845, -47
36, hsa:2252, -34
37, hsa:2253, -34
38, hsa:2250, -34
39, hsa:2251, -34
40, hsa:1026, -61
41, hsa:1019, -58
42, hsa:1021, -60
43, hsa:2248, -34
44, hsa:2249, -34
45, hsa:2246, -34
46, hsa:2247, -34
47, hsa:1950, -34
48, hsa:1647, 45
49, hsa:4616, 45
50, hsa:10912, 45
51, hsa:7157, -45
52, hsa:51426, 47
53, hsa:1643, 47
54, hsa:578, 47
55, hsa:581, 47
56, hsa:4193, -50
57, hsa:1871, 59
58, hsa:5925, -32
59, hsa:1870, 59
60, hsa:1869, 59
61, hsa:1029, -55
62, hsa:595, -59
63, hsa:5595, -59
64, hsa:5594, -59
