Node_ID, Node, Total Support
0, hsa:5579, -35
1, hsa:5582, -35
2, hsa:5894, -32
3, hsa:369, -32
4, hsa:673, -32
5, hsa:5578, -35
6, hsa:6655, -37
7, hsa:3265, -33
8, hsa:4893, -33
9, hsa:3845, -28
10, hsa:6654, -37
11, hsa:2885, -38
12, hsa:5296, -36
13, hsa:8503, -36
14, hsa:1871, 25
15, hsa:5925, 20
16, hsa:1869, 25
17, hsa:1870, 25
18, hsa:1029, 18
19, hsa:1021, -3
20, hsa:1019, -3
21, hsa:11186, -33
22, hsa:595, -32
23, hsa:6789, 25
24, hsa:83593, -34
25, hsa:5295, -36
26, hsa:5604, -36
27, hsa:5605, -36
28, hsa:7039, -36
29, hsa:1956, -34
30, hsa:2064, -34
31, hsa:5291, -32
32, hsa:5293, -32
33, hsa:5290, -32
34, hsa:5335, -35
35, hsa:5336, -35
36, hsa:5594, -34
37, hsa:5595, -34
38, hsa:1950, -36
39, hsa:27436, -36
40, hsa:3718, -39
41, hsa:238, -36
42, hsa:6774, -21
43, hsa:6777, -21
44, hsa:6776, -21
