Node_ID, Node, Total Support
0, hsa:5594, 11
1, hsa:5595, 11
2, hsa:5604, 1
3, hsa:5601, 12
4, hsa:5599, 12
5, hsa:5602, 12
6, hsa:5295, -38
7, hsa:5296, -38
8, hsa:8503, -38
9, hsa:5291, -38
10, hsa:5293, -38
11, hsa:3716, -42
12, hsa:6772, -33
13, hsa:6774, -33
14, hsa:5290, -38
15, hsa:5900, -42
16, hsa:5898, -41
17, hsa:5899, -41
18, hsa:1956, -35
19, hsa:2064, 8
20, hsa:5337, -25
21, hsa:10928, -41
22, hsa:2475, -42
23, hsa:6199, 1
24, hsa:6198, 1
25, hsa:5880, -40
26, hsa:5879, -40
27, hsa:998, -43
28, hsa:5881, -40
29, hsa:4790, -36
30, hsa:5970, -36
31, hsa:1950, 8
32, hsa:7039, 8
33, hsa:207, -36
34, hsa:208, -36
35, hsa:598, -43
36, hsa:572, -43
37, hsa:842, -32
38, hsa:3551, -40
39, hsa:1147, -40
40, hsa:8517, -40
41, hsa:7422, -43
42, hsa:10000, -36
43, hsa:3845, -35
44, hsa:5894, -33
45, hsa:369, -33
46, hsa:673, -33
47, hsa:9459, -26
