Node_ID, Node, Total Support
0, hsa:2033, -32
1, hsa:7157, -40
2, hsa:1387, -32
3, hsa:9586, -33
4, hsa:84699, -33
5, hsa:90993, -33
6, hsa:6934, -16
7, hsa:83439, -16
8, hsa:595, -17
9, hsa:1027, -39
10, hsa:1017, -32
11, hsa:9134, 32
12, hsa:5925, 34
13, hsa:898, 32
14, hsa:468, -33
15, hsa:64764, -33
16, hsa:2932, -31
17, hsa:10488, -33
18, hsa:1499, -36
19, hsa:148327, -33
20, hsa:1385, -33
21, hsa:6932, -16
22, hsa:51176, -16
23, hsa:208, -28
24, hsa:1026, -40
25, hsa:572, -40
26, hsa:2308, -40
27, hsa:2475, -40
28, hsa:842, -40
29, hsa:3551, -37
30, hsa:1147, -37
31, hsa:4193, -39
32, hsa:8517, -37
33, hsa:1871, 34
34, hsa:1869, 34
35, hsa:1870, 34
36, hsa:207, -28
37, hsa:10000, -28
38, hsa:5170, -40
39, hsa:4790, -24
40, hsa:5970, -24
41, hsa:4792, -38
42, hsa:596, 33
43, hsa:4824, -38
