Node_ID, Node, Total Support
0, hsa:2549, -19
1, hsa:5781, -27
2, hsa:2885, -24
3, hsa:1399, -27
4, hsa:1398, -27
5, hsa:5291, -21
6, hsa:5290, -21
7, hsa:5295, -21
8, hsa:5293, -21
9, hsa:8503, -21
10, hsa:5296, -21
11, hsa:10000, -21
12, hsa:208, -21
13, hsa:207, -21
14, hsa:572, -25
15, hsa:6655, -18
16, hsa:6654, -18
17, hsa:3082, -11
18, hsa:4233, -25
19, hsa:5595, -24
20, hsa:2113, -28
21, hsa:3725, -28
22, hsa:5594, -24
23, hsa:5605, -24
24, hsa:673, -26
25, hsa:5604, -24
26, hsa:2889, -26
27, hsa:5908, -10
28, hsa:5906, -10
29, hsa:369, -26
30, hsa:5894, -26
