Node_ID, Node, Total Support
0, hsa:1163, -21
1, hsa:6502, -21
2, hsa:1164, -21
3, hsa:4792, -31
4, hsa:4790, -21
5, hsa:5970, -21
6, hsa:1871, 17
7, hsa:5925, -32
8, hsa:7188, -31
9, hsa:7189, -31
10, hsa:9618, -31
11, hsa:1869, 17
12, hsa:1870, 17
13, hsa:7186, -31
14, hsa:7187, -31
15, hsa:1021, -35
16, hsa:7185, -31
17, hsa:1019, -35
18, hsa:9134, 15
19, hsa:1017, -19
20, hsa:5743, -28
21, hsa:4843, -28
22, hsa:112401, -32
23, hsa:598, -28
24, hsa:330, -32
25, hsa:329, -32
26, hsa:79444, -32
27, hsa:331, -32
28, hsa:595, -34
29, hsa:1027, 13
30, hsa:898, 15
31, hsa:1030, -26
32, hsa:208, -1
33, hsa:1147, -4
34, hsa:8517, -4
35, hsa:3551, -4
36, hsa:207, -1
37, hsa:10000, -1
38, hsa:4149, 25
39, hsa:4609, -35
40, hsa:7709, -22
